target_id,target_month,region,category_id,order_target,unit_target,sales_target
TGT0080,01-01-2023,South,CAT080,752,872,693683.29
TGT0081,01-01-2023,South,CAT081,889,1022,830396.44
TGT0082,01-01-2023,South,CAT082,899,1001,1017414.83
TGT0083,01-01-2023,South,CAT083,732,828,738464.31
TGT0084,01-01-2023,South,CAT084,935,1085,964031.94
TGT0085,01-01-2023,South,CAT085,910,1104,890680.19
TGT0086,01-01-2023,South,CAT086,876,1062,993832.32
TGT0087,01-01-2023,South,CAT087,658,766,780497.21
TGT0088,01-01-2023,South,CAT088,761,818,723968.4
TGT0089,01-01-2023,South,CAT089,926,1192,812887.51
TGT0090,01-01-2023,South,CAT090,912,1173,949362.39
TGT0091,01-01-2023,South,CAT091,734,846,703957.35
TGT0092,01-01-2023,South,CAT092,789,724,813656.16
TGT0093,01-01-2023,South,CAT093,740,838,742788.64
TGT0094,01-01-2023,South,CAT094,842,785,919507.94
TGT0095,01-01-2023,South,CAT095,765,713,762750.13
TGT0096,01-01-2023,South,CAT096,756,737,657250.86
TGT0097,01-01-2023,South,CAT097,680,718,675379.96
TGT0098,01-01-2023,South,CAT098,683,856,655605.79
TGT0099,01-01-2023,South,CAT099,877,1028,938959.03
TGT0100,01-01-2023,South,CAT100,909,923,878995.54
TGT0101,01-01-2023,South,CAT101,795,868,698639
TGT0102,01-01-2023,South,CAT102,784,982,843095.09
TGT0103,01-01-2023,South,CAT103,924,1072,959856.34
TGT0104,01-01-2023,South,CAT104,752,941,719028.25
TGT0105,01-01-2023,South,CAT105,653,696,770850.38
TGT0106,01-01-2023,South,CAT106,831,835,820193.17
TGT0107,01-01-2023,South,CAT107,820,920,849283.74
TGT0108,01-01-2023,South,CAT108,769,786,802821.45
TGT0109,01-01-2023,South,CAT109,734,871,797198.98
TGT0110,01-01-2023,South,CAT110,761,734,735518.5
TGT0111,01-01-2023,South,CAT111,745,732,831645.67
TGT0112,01-01-2023,South,CAT112,800,1064,736529.31
TGT0113,01-01-2023,South,CAT113,764,674,817955.23
TGT0114,01-01-2023,South,CAT114,740,864,819691.95
TGT0115,01-01-2023,South,CAT115,893,1006,977697.43
TGT0116,01-01-2023,South,CAT116,899,927,911128.07
TGT0117,01-01-2023,South,CAT117,686,748,623055.4
TGT0118,01-01-2023,South,CAT118,909,925,847905.82
TGT0119,01-01-2023,South,CAT119,735,964,695311.43
TGT0120,01-01-2023,South,CAT120,783,821,836615.55
TGT0121,01-01-2023,North,CAT001,716,719,778048.35
TGT0122,01-01-2023,North,CAT002,770,902,903185.84
TGT0123,01-01-2023,North,CAT003,840,940,969618.86
TGT0124,01-01-2023,North,CAT004,811,956,773598.08
TGT0125,01-01-2023,North,CAT005,680,877,781920.97
TGT0126,01-01-2023,North,CAT006,688,871,752283.91
TGT0127,01-01-2023,North,CAT007,861,872,961985.64
TGT0128,01-01-2023,North,CAT008,768,795,835658.31
TGT0129,01-01-2023,North,CAT009,863,907,859547.69
TGT0130,01-01-2023,North,CAT010,732,862,844706.66
TGT0131,01-01-2023,North,CAT011,646,790,675106.52
TGT0132,01-01-2023,North,CAT012,699,884,732009.64
TGT0133,01-01-2023,North,CAT013,752,836,870629.47
TGT0134,01-01-2023,North,CAT014,852,891,1039808.1
