supplier_id,supplier_name,supplier_type,city,state,region,rating,payment_terms,lead_time_days,supplier_status
SUP085,Heritage Fragrance Imports,Importer,Ahmedabad,Gujarat,West,4,Net 15,17,Active
SUP086,SkinCare Essentials Manufacturing,Manufacturer,Pune,Maharashtra,West,4.2,Net 45,8,Active
SUP087,Urban Beauty Distribution,Distributor,Bengaluru,Karnataka,South,4.3,Net 15,9,Active
SUP088,Aaradhya Personal Care,Manufacturer,Ahmedabad,Gujarat,West,4.2,Net 30,7,Active
SUP089,Prime Cosmetics Wholesale,Wholesaler,Kolkata,West Bengal,East,4.2,Net 30,6,Active
SUP090,FreshHarvest Grocery Suppliers,Distributor,Ahmedabad,Gujarat,West,4,Net 45,4,Active
SUP091,Bharat Food Products,Manufacturer,Delhi,Delhi,North,4.2,Net 30,8,Active
SUP092,GreenField Grocery Wholesale,Wholesaler,Ahmedabad,Gujarat,West,4.2,Net 30,7,Active
SUP093,DailyChoice Foods Distribution,Distributor,Delhi,Delhi,North,4.4,Net 45,5,Active
SUP094,Shree Grain & Pulses Traders,Wholesaler,Bhopal,Madhya Pradesh,Central,4.2,Net 30,6,Active
SUP095,HarvestGold Food Industries,Manufacturer,Coimbatore,Tamil Nadu,South,4,Net 30,6,Active
SUP096,NatureBasket Food Supplies,Distributor,Lucknow,Uttar Pradesh,North,4,Net 45,6,Active
SUP097,SpiceRoute Foods,Manufacturer,Indore,Madhya Pradesh,Central,4,Net 15,11,Active
SUP098,PureHarvest Imports,Importer,Pune,Maharashtra,West,4,Advance,18,Active
SUP099,Everyday Grocery Partners,Brand Partner,Delhi,Delhi,North,4.2,Net 45,10,Active
SUP100,ProSport Equipment India,Manufacturer,Pune,Maharashtra,West,4.1,Net 30,6,Active
SUP101,CricketPro Sports Distributors,Distributor,Bengaluru,Karnataka,South,4.1,Net 30,6,Active
SUP102,Champion Sports Wholesale,Wholesaler,Lucknow,Uttar Pradesh,North,4.3,Net 30,7,Active
SUP103,ActiveGear Sports Industries,Manufacturer,Chennai,Tamil Nadu,South,4.4,Net 30,7,Active
SUP104,GamePoint Sports Supply,Distributor,Ahmedabad,Gujarat,West,4.1,Net 30,7,Active
SUP105,SportLine Imports,Importer,Ahmedabad,Gujarat,West,4.2,Net 15,17,Active
SUP106,Elite Fitness Equipment,Manufacturer,Gurugram,Haryana,North,4.2,Net 45,8,Active
SUP107,YogaLife Products,Brand Partner,Chennai,Tamil Nadu,South,4.2,Net 60,13,Active
SUP108,RacketWorld Sports Traders,Wholesaler,Nagpur,Maharashtra,West,4.3,Advance,5,Active
SUP109,OutdoorPro Recreation Supplies,Distributor,Jaipur,Rajasthan,North,4.2,Net 30,7,Active
