order_item_id,order_id,product_id,quantity,unit_price,mrp,discount_amount,discount_percent,tax_amount,item_revenue,unit_cost,item_cost,gross_profit,item_status
OI023708,ORD055232,PROD1897,1,799,899,NULL,NULL,143.82,799,500,500,299,Delivered
OI156660,ORD055235,PROD0212,1,2499,2999,NULL,NULL,449.82,2499,1800,1800,699,Delivered
OI156662,ORD055235,PROD0800,1,4199,4999,NULL,NULL,755.82,4199,2700,2700,1499,Delivered
OI193255,ORD042113,PROD0227,1,7999,9999,NULL,NULL,1439.82,7999,6000,6000,1999,Delivered
OI097290,ORD042119,PROD0008,1,129999,149999,NULL,NULL,23399.82,129999,96000,96000,33999,Delivered
OI099935,ORD042123,PROD1084,2,249,299,NULL,NULL,89.64,498,150,300,198,Delivered
OI070617,ORD055265,PROD0115,1,114999,129999,NULL,NULL,20699.82,114999,95000,95000,19999,Returned
OI097763,ORD042130,PROD0468,1,2999,3499,NULL,NULL,539.82,2999,1800,1800,1199,Delivered
OI135372,ORD042132,PROD2025,2,329,379,NULL,NULL,118.44,658,220,440,218,Delivered
OI135374,ORD042132,PROD1143,1,649,749,NULL,NULL,116.82,649,400,400,249,Delivered
OI092255,ORD055270,PROD0741,4,1699,2199,NULL,NULL,1223.28,6796,1000,4000,2796,Delivered
OI076521,ORD055272,PROD1497,1,299,349,NULL,NULL,53.82,299,180,180,119,Delivered
OI076522,ORD055272,PROD0199,1,119999,134999,NULL,NULL,21599.82,119999,100000,100000,19999,Delivered
OI134238,ORD055276,PROD1508,1,1399,1599,NULL,NULL,251.82,1399,900,900,499,Delivered
OI057137,ORD055280,PROD0161,1,16999,19999,NULL,NULL,3059.82,16999,12000,12000,4999,Delivered
OI096070,ORD055301,PROD0719,1,2999,3499,NULL,NULL,539.82,2999,1800,1800,1199,Delivered
OI067825,ORD055302,PROD0925,3,999,1299,NULL,NULL,539.46,2997,600,1800,1197,Delivered
OI054022,ORD055311,PROD0097,1,69999,79999,NULL,NULL,12599.82,69999,58000,58000,11999,Returned
OI100409,ORD055317,PROD0741,1,1699,2199,NULL,NULL,305.82,1699,1000,1000,699,Returned
OI028827,ORD055310,PROD1529,3,169,199,NULL,NULL,91.26,507,100,300,207,Delivered
OI041383,ORD055315,PROD1330,1,279,329,NULL,NULL,50.22,279,190,190,89,Delivered
OI064053,ORD055345,PROD1572,1,299,349,NULL,NULL,53.82,299,180,180,119,Returned
OI100410,ORD055317,PROD0444,1,1599,1999,NULL,NULL,287.82,1599,900,900,699,Delivered
OI077074,ORD055320,PROD1468,1,249,280,NULL,NULL,44.82,249,170,170,79,Delivered
OI162780,ORD055324,PROD1919,1,29999,32999,NULL,NULL,5399.82,29999,21000,21000,8999,Cancelled
OI162781,ORD055324,PROD0926,1,44999,54999,NULL,NULL,8099.82,44999,28000,28000,16999,Cancelled
OI011497,ORD055348,PROD0639,2,1499,1899,NULL,NULL,539.64,2998,850,1700,1298,Delivered
OI000900,ORD055352,PROD1991,1,5999,6999,NULL,NULL,1079.82,5999,4000,4000,1999,Delivered
OI059239,ORD055390,PROD1518,1,7499,8499,NULL,NULL,1349.82,7499,5200,5200,2299,Delivered
OI174303,ORD055394,PROD0014,1,39999,43999,NULL,NULL,7199.82,39999,29000,29000,10999,Returned
OI013880,ORD042229,PROD0640,3,1299,1699,NULL,NULL,701.46,3897,700,2100,1797,Cancelled
OI112025,ORD042233,PROD0022,2,32999,37999,NULL,NULL,11879.64,65998,24500,49000,16998,Delivered
OI112026,ORD042233,PROD0046,1,79999,89900,NULL,NULL,14399.82,79999,62000,62000,17999,Delivered
OI124831,ORD042236,PROD1341,2,135,150,NULL,NULL,48.6,270,95,190,80,Delivered
OI124832,ORD042236,PROD1414,4,249,280,NULL,NULL,179.28,996,170,680,316,Delivered
OI028787,ORD042241,PROD1803,1,2799,3199,NULL,NULL,503.82,2799,1800,1800,999,Delivered
OI174304,ORD055394,PROD1711,1,549,649,NULL,NULL,98.82,549,350,350,199,Delivered
OI055237,ORD055431,PROD0142,1,34999,39999,NULL,NULL,6299.82,34999,28000,28000,6999,Delivered
OI065172,ORD055444,PROD1710,1,1199,1399,NULL,NULL,215.82,1199,750,750,449,Delivered
OI053697,ORD055451,PROD0403,1,1099,1299,NULL,NULL,197.82,1099,800,800,299,Delivered
OI048950,ORD055458,PROD0716,1,10999,12999,NULL,NULL,1979.82,10999,6500,6500,4499,Delivered
OI011241,ORD055459,PROD0849,1,4499,5499,NULL,NULL,809.82,4499,2800,2800,1699,Delivered
OI141105,ORD055460,PROD0887,1,899,1099,NULL,NULL,161.82,899,500,500,399,Delivered
OI131506,ORD055505,PROD0450,1,1799,2199,NULL,NULL,323.82,1799,1100,1100,699,Returned
OI013345,ORD055463,PROD0966,2,1099,1399,NULL,NULL,395.64,2198,650,1300,898,Cancelled
OI136258,ORD055466,PROD0733,1,3299,4299,NULL,NULL,593.82,3299,1900,1900,1399,Cancelled
OI136259,ORD055466,PROD0729,2,3799,4999,NULL,NULL,1367.64,7598,2200,4400,3198,Cancelled
OI065987,ORD055479,PROD0664,1,2195,2695,NULL,NULL,395.1,2195,1200,1200,995,Delivered
OI032822,ORD055486,PROD0741,1,1699,2199,NULL,NULL,305.82,1699,1000,1000,699,Delivered
OI008664,ORD055495,PROD0703,3,1099,1499,NULL,NULL,593.46,3297,550,1650,1647,Delivered
OI153807,ORD042419,PROD0907,1,699,899,NULL,NULL,125.82,699,400,400,299,Delivered
OI153808,ORD042419,PROD1909,2,949,1099,NULL,NULL,341.64,1898,600,1200,698,Delivered
OI153809,ORD042419,PROD0819,1,2999,3599,NULL,NULL,539.82,2999,1900,1900,1099,Delivered
OI091407,ORD042420,PROD0860,1,899,1099,NULL,NULL,161.82,899,500,500,399,Delivered
OI091408,ORD042420,PROD1802,1,32999,37999,NULL,NULL,5939.82,32999,22000,22000,10999,Delivered
OI081658,ORD042423,PROD0998,1,2199,2699,NULL,NULL,395.82,2199,1300,1300,899,Delivered
OI141393,ORD042425,PROD1321,1,159,179,NULL,NULL,28.62,159,100,100,59,Delivered
OI141395,ORD042425,PROD0771,1,799,999,NULL,NULL,143.82,799,450,450,349,Delivered
OI031630,ORD042427,PROD0485,1,1799,2199,NULL,NULL,323.82,1799,1000,1000,799,Delivered
OI138997,ORD042430,PROD1519,1,4499,4999,NULL,NULL,809.82,4499,3000,3000,1499,Delivered
OI117848,ORD042432,PROD0331,1,1499,1799,NULL,NULL,269.82,1499,1000,1000,499,Delivered
OI003231,ORD042437,PROD1288,1,699,799,NULL,NULL,125.82,699,450,450,249,Delivered
OI099131,ORD042438,PROD0048,1,119999,139900,NULL,NULL,21599.82,119999,85000,85000,34999,Cancelled
OI108835,ORD055506,PROD1542,1,44999,49999,NULL,NULL,8099.82,44999,32000,32000,12999,Delivered
OI050578,ORD055576,PROD0253,1,11999,14999,NULL,NULL,2159.82,11999,9000,9000,2999,Returned
OI004067,ORD055588,PROD0830,1,999,1299,NULL,NULL,179.82,999,650,650,349,Returned
OI163305,ORD055513,PROD1354,1,229,260,NULL,NULL,41.22,229,145,145,84,Cancelled
OI163307,ORD055513,PROD1655,1,299,350,NULL,NULL,53.82,299,180,180,119,Cancelled
OI099844,ORD055514,PROD0498,2,2999,3499,NULL,NULL,1079.64,5998,1800,3600,2398,Cancelled
OI001831,ORD055542,PROD0934,1,11999,14999,NULL,NULL,2159.82,11999,7000,7000,4999,Delivered
OI049585,ORD055574,PROD1779,1,499,599,NULL,NULL,89.82,499,300,300,199,Delivered
OI153360,ORD055580,PROD1189,1,499,599,NULL,NULL,89.82,499,300,300,199,Delivered
OI153362,ORD055580,PROD1088,1,429,549,NULL,NULL,77.22,429,250,250,179,Delivered
OI021629,ORD055587,PROD0284,1,139999,159999,NULL,NULL,25199.82,139999,120000,120000,19999,Delivered
OI052655,ORD055611,PROD0140,2,22999,25999,NULL,NULL,8279.64,45998,18000,36000,9998,Returned
OI017594,ORD055596,PROD0917,1,599,799,NULL,NULL,107.82,599,350,350,249,Delivered
OI094201,ORD055603,PROD1042,2,299,349,NULL,NULL,107.64,598,180,360,238,Cancelled
OI094202,ORD055603,PROD0860,1,899,1099,NULL,NULL,161.82,899,500,500,399,Cancelled
